id_contrato,pd
T000001,0.0473790559
T000002,0.0473120623
T000003,0.0974025885
T000004,0.0559770092
T000005,0.1000097046
T000006,0.0447883476
T000007,0.1931536118
T000008,0.3587512597
T000009,0.0291371214
T000010,0.1408057192
T000011,0.0580282086
T000012,0.0400342463
T000013,0.0417462125
T000014,0.0868527001
T000015,0.0495614545
T000016,0.0285370746
T000017,0.0246324309
T000018,0.0913913365
T000019,0.0555108660
T000020,0.0791796921
T000021,0.0550419168
T000022,0.0430000825
T000023,0.0375426677
T000024,0.0382241572
T000025,0.0569897025
T000026,0.1021310141
T000027,0.0341361646
T000028,0.1078707132
T000029,0.0391802887
T000030,0.0464113577
T000031,0.0441929093
T000032,0.0668210526
T000033,0.0315665642
T000034,0.0883275682
T000035,0.0343653374
T000036,0.0660798570
T000037,0.0256564755
T000038,0.0342553623
T000039,0.1157337827
T000040,0.0604202017
T000041,0.0318525530
T000042,0.3585041889
T000043,0.0578678964
T000044,0.0739406917
T000045,0.2124286842
T000046,0.0534388889
T000047,0.0363587188
T000048,0.0408014776
T000049,0.0824545345
T000050,0.0353369193
T000051,0.0346274283
T000052,0.0980134661
T000053,0.0591207945
T000054,0.0488214667
T000055,0.0422855069
T000056,0.0794668783
T000057,0.0385115013
T000058,0.0512745527
T000059,0.1267508366
T000060,0.0289425419
T000061,0.0422013408
T000062,0.0721748280
T000063,0.0456966091
T000064,0.0775102919
T000065,0.1077801954
T000066,0.0293587479
T000067,0.1962053000
T000068,0.3564387289
T000069,0.0450993044
T000070,0.0549338587
T000071,0.0699396144
T000072,0.0397905863
T000073,0.0187671395
T000074,0.0306817973
T000075,0.0320767918
T000076,0.0637656950
T000077,0.0840445504
T000078,0.2234495972
T000079,0.0404601073
T000080,0.0276200814
T000081,0.0398524193
T000082,0.0694745647
T000083,0.0680472990
T000084,0.0347130743
T000085,0.0286671496
T000086,0.0305393266
T000087,0.0430334129
T000088,0.0288986821
T000089,0.0668490750
T000090,0.0407297428
T000091,0.0847074008
T000092,0.0791532571
T000093,0.0720698122
T000094,0.0477105158
T000095,0.0816741946
T000096,0.0566385458
T000097,0.0744538292
T000098,0.1815849507
T000099,0.0587562995
T000100,0.0616533285
T000101,0.0391943135
T000102,0.0461314918
T000103,0.0547702900
T000104,0.2586290035
T000105,0.0432080081
T000106,0.1350601930
T000107,0.1497532752
T000108,0.0251429336
T000109,0.0643489274
T000110,0.0499091841
T000111,0.0663034276
T000112,0.0259061352
T000113,0.1216529379
T000114,0.3797004827
T000115,0.0496233614
T000116,0.2644294114
T000117,0.0758236622
T000118,0.0414089559
T000119,0.0313365691
T000120,0.0395730426
T000121,0.0617506142
T000122,0.0407242333
T000123,0.0211713298
T000124,0.0470736675
T000125,0.0473834518
T000126,0.0808254222
T000127,0.0792201360
T000128,0.0713878887
T000129,0.0222033429
T000130,0.3109489852
T000131,0.0394389045
T000132,0.0347124885
T000133,0.0829381188
T000134,0.0277474104
T000135,0.0402017804
T000136,0.0201724180
T000137,0.0309828602
T000138,0.0482534262
T000139,0.0243750228
T000140,0.0342547867
T000141,0.0590243528
T000142,0.0334247860
T000143,0.0686481393
T000144,0.0477584892
T000145,0.0401383412
T000146,0.1131691968
T000147,0.0692035032
T000148,0.0993755213
T000149,0.0365785238
T000150,0.0846473628
T000151,0.3497574704
T000152,0.0657030408
T000153,0.1001022084
T000154,0.0217660934
T000155,0.0682923285
T000156,0.0490011646
T000157,0.0412750435
T000158,0.0325104239
T000159,0.0648724801
T000160,0.4753486449
T000161,0.0385610918
T000162,0.0523336908
T000163,0.0358662606
T000164,0.0939281374
T000165,0.0298272837
T000166,0.0914313199
T000167,0.0386999763
T000168,0.4601022862
T000169,0.1043734711
T000170,0.0348368882
T000171,0.0809307284
T000172,0.0594654177
T000173,0.0600552878
T000174,0.0242526481
T000175,0.1565180258
T000176,0.1353565164
T000177,0.0879819316
T000178,0.0375406848
T000179,0.4817598860
T000180,0.0332294741
T000181,0.0388644392
T000182,0.0349127526
T000183,0.0360867867
T000184,0.1330871072
T000185,0.0320343399
T000186,0.0578942144
T000187,0.0439307959
T000188,0.0762399233
T000189,0.2837741935
T000190,0.0484836836
T000191,0.0402894608
T000192,0.0903194683
T000193,0.0869671516
T000194,0.0676180714
T000195,0.0564188607
T000196,0.0279977848
T000197,0.0649664953
T000198,0.0375361524
T000199,0.0603967657
T000200,0.0343717834
T000201,0.0688224233
T000202,0.0690241940
T000203,0.0548640551
T000204,0.0818111149
T000205,0.0681947340
T000206,0.0347872755
T000207,0.0526193514
T000208,0.0544757791
T000209,0.0396629219
T000210,0.0541769477
T000211,0.0421219414
T000212,0.0388791869
T000213,0.1627430057
T000214,0.1581379060
T000215,0.1982930222
T000216,0.0794795877
T000217,0.0807956488
T000218,0.0441612100
T000219,0.0477220054
T000220,0.1441282833
T000221,0.0788076982
T000222,0.0917765315
T000223,0.0386857159
T000224,0.1016870860
T000225,0.0410540134
T000226,0.0420419283
T000227,0.0379475691
T000228,0.0321584761
T000229,0.0398244533
T000230,0.1044661145
T000231,0.0414600074
T000232,0.0337752047
T000233,0.0318811721
T000234,0.1571001299
T000235,0.0612032580
T000236,0.0330198031
T000237,0.2385167839
T000238,0.0705323170
T000239,0.0477673891
T000240,0.0415055203
T000241,0.0549105863
T000242,0.2197932706
T000243,0.1367081462
T000244,0.0236447093
T000245,0.0291678496
T000246,0.1278804869
T000247,0.0437135519
T000248,0.0763774435
T000249,0.0347041394
T000250,0.0609999114
T000251,0.0267086248
T000252,0.3840476971
T000253,0.1024641627
T000254,0.1278860201
T000255,0.0786459111
T000256,0.0546433444
T000257,0.0398060666
T000258,0.0401976292
T000259,0.0677374605
T000260,0.0181294277
T000261,0.0498087775
T000262,0.0423748941
T000263,0.0272707565
T000264,0.0356791967
T000265,0.0347143583
T000266,0.0377806532
T000267,0.0675115900
T000268,0.0220632504
T000269,0.0365622779
T000270,0.0570223919
T000271,0.0339563114
T000272,0.0437923669
T000273,0.0371450887
T000274,0.0487834204
T000275,0.0566383518
T000276,0.0947736973
T000277,0.0562252040
T000278,0.0381448099
T000279,0.0299803192
T000280,0.0341326792
T000281,0.0398390232
T000282,0.0293253548
T000283,0.0956416629
T000284,0.1974506301
T000285,0.0901284050
T000286,0.0488637628
T000287,0.0858652989
T000288,0.0632836895
T000289,0.0670269105
T000290,0.0359005025
T000291,0.0733219929
T000292,0.0485196883
T000293,0.0458995914
T000294,0.0909782955
T000295,0.1279091010
T000296,0.0551340981
T000297,0.0652107798
T000298,0.0244794095
T000299,0.0204801806
T000300,0.0688752522
T000301,0.0694700427
T000302,0.0332577177
T000303,0.0564921465
T000304,0.0565080874
T000305,0.0868347951
T000306,0.0753074895
T000307,0.0840496410
T000308,0.0278191788
T000309,0.1036183417
T000310,0.0191188728
T000311,0.0256191730
T000312,0.0436113739
T000313,0.0195132292
T000314,0.0391483880
T000315,0.0440884245
T000316,0.0371106217
T000317,0.0703990787
T000318,0.0517000941
T000319,0.1854843431
T000320,0.0275994079
T000321,0.0601301750
T000322,0.0304354339
T000323,0.0384533381
T000324,0.1602392578
T000325,0.2064864122
T000326,0.0424151662
T000327,0.0601827395
T000328,0.1029889522
T000329,0.0644649553
T000330,0.0357832761
T000331,0.0250378977
T000332,0.0890591998
T000333,0.2051465483
T000334,0.0202873465
T000335,0.0537744950
T000336,0.0368513705
T000337,0.0422732639
T000338,0.0578165668
T000339,0.0404764190
T000340,0.1890188966
T000341,0.0372778066
T000342,0.0336897980
T000343,0.0961624019
T000344,0.0362335625
T000345,0.1166809742
T000346,0.0316065665
T000347,0.0554600322
T000348,0.1366140436
T000349,0.0363001558
T000350,0.0619082842
T000351,0.0300958606
T000352,0.0469516858
T000353,0.0296989097
T000354,0.0286758773
T000355,0.0412222903
T000356,0.0663706425
T000357,0.0560215059
T000358,0.0368423189
T000359,0.0612070564
T000360,0.0495359621
T000361,0.0511111022
T000362,0.0280004645
T000363,0.0307866047
T000364,0.0913437253
T000365,0.0324175987
T000366,0.0310509227
T000367,0.0290968895
T000368,0.0333047383
T000369,0.2492545448
T000370,0.0375860373
