id_proposta,pd,score_1a10,decisao,taxa_am,prazo_meses,pct_entrada_minima
P000001,0.1226686644,4,NEGAR,,,
P000002,0.0549657706,7,APROVAR,0.0250000000,60,0.1500000000
P000003,0.0150627142,10,APROVAR,0.0225000000,60,0.1000000000
P000004,0.0774898471,5,NEGAR,,,
P000005,0.4733698941,1,NEGAR,,,
P000006,0.0770770191,5,NEGAR,,,
P000007,0.0254547776,9,APROVAR,0.0230000000,60,0.1000000000
P000008,0.0510951990,7,APROVAR,0.0250000000,60,0.1500000000
P000009,0.0582284987,7,APROVAR,0.0250000000,60,0.1500000000
P000010,0.0392973068,8,APROVAR,0.0240000000,60,0.1500000000
P000011,0.4055227120,1,NEGAR,,,
P000012,0.2173859322,3,NEGAR,,,
P000013,0.0438293480,8,APROVAR,0.0240000000,60,0.1500000000
P000014,0.1605061650,3,NEGAR,,,
P000015,0.0267769347,9,APROVAR,0.0230000000,60,0.1000000000
P000016,0.0449013307,8,APROVAR,0.0240000000,60,0.1500000000
P000017,0.1789918641,3,NEGAR,,,
P000018,0.0454351112,8,APROVAR,0.0240000000,60,0.1500000000
P000019,0.0890911240,5,NEGAR,,,
P000020,0.4269346763,1,NEGAR,,,
P000021,0.0289993756,9,APROVAR,0.0230000000,60,0.1000000000
P000022,0.0448902781,8,APROVAR,0.0240000000,60,0.1500000000
P000023,0.0402374018,8,APROVAR,0.0240000000,60,0.1500000000
P000024,0.3414670422,2,NEGAR,,,
P000025,0.5187723008,1,NEGAR,,,
P000026,0.3539771974,1,NEGAR,,,
P000027,0.2149861507,3,NEGAR,,,
P000028,0.3341606628,2,NEGAR,,,
P000029,0.0282881608,9,APROVAR,0.0230000000,60,0.1000000000
P000030,0.0662217991,6,APROVAR,0.0260000000,48,0.2000000000
P000031,0.0380514579,8,APROVAR,0.0240000000,60,0.1500000000
P000032,0.2043743820,3,NEGAR,,,
P000033,0.2249961841,2,NEGAR,,,
P000034,0.0452633056,8,APROVAR,0.0240000000,60,0.1500000000
P000035,0.0242747893,9,APROVAR,0.0230000000,60,0.1000000000
P000036,0.0425694116,8,APROVAR,0.0240000000,60,0.1500000000
P000037,0.1041516390,4,NEGAR,,,
P000038,0.0386706345,8,APROVAR,0.0240000000,60,0.1500000000
P000039,0.0433513879,8,APROVAR,0.0240000000,60,0.1500000000
P000040,0.0869219364,5,NEGAR,,,
P000041,0.2208374748,2,NEGAR,,,
P000042,0.4325027035,1,NEGAR,,,
P000043,0.3097024113,2,NEGAR,,,
P000044,0.0412111256,8,APROVAR,0.0240000000,60,0.1500000000
P000045,0.0887788078,5,NEGAR,,,
P000046,0.2692753846,2,NEGAR,,,
P000047,0.0650648332,6,APROVAR,0.0260000000,48,0.2000000000
P000048,0.1366899523,4,NEGAR,,,
P000049,0.1923403588,3,NEGAR,,,
P000050,0.0514811214,7,APROVAR,0.0250000000,60,0.1500000000
P000051,0.2925042975,2,NEGAR,,,
P000052,0.0563847046,7,APROVAR,0.0250000000,60,0.1500000000
P000053,0.2263494291,2,NEGAR,,,
P000054,0.1975813104,3,NEGAR,,,
P000055,0.0745584299,6,APROVAR,0.0260000000,48,0.2000000000
P000056,0.1981450645,3,NEGAR,,,
P000057,0.2663125198,2,NEGAR,,,
P000058,0.3876901751,1,NEGAR,,,
P000059,0.1932988794,3,NEGAR,,,
P000060,0.0247845958,9,APROVAR,0.0230000000,60,0.1000000000
P000061,0.1363545100,4,NEGAR,,,
P000062,0.1736979937,3,NEGAR,,,
P000063,0.3894956288,1,NEGAR,,,
P000064,0.1271172090,4,NEGAR,,,
P000065,0.0452470848,8,APROVAR,0.0240000000,60,0.1500000000
P000066,0.1601923789,3,NEGAR,,,
P000067,0.2787366881,2,NEGAR,,,
P000068,0.1721855042,3,NEGAR,,,
P000069,0.0565556433,7,APROVAR,0.0250000000,60,0.1500000000
P000070,0.1407972890,4,NEGAR,,,
P000071,0.2246807983,2,NEGAR,,,
P000072,0.0254447867,9,APROVAR,0.0230000000,60,0.1000000000
P000073,0.4172375508,1,NEGAR,,,
P000074,0.1531056566,3,NEGAR,,,
P000075,0.0549333102,7,APROVAR,0.0250000000,60,0.1500000000
P000076,0.0762857937,5,NEGAR,,,
P000077,0.1135511540,4,NEGAR,,,
P000078,0.3067493885,2,NEGAR,,,
P000079,0.0566991950,7,APROVAR,0.0250000000,60,0.1500000000
P000080,0.1583176313,3,NEGAR,,,
P000081,0.0343768611,9,APROVAR,0.0230000000,60,0.1000000000
P000082,0.2855094670,2,NEGAR,,,
P000083,0.3080655908,2,NEGAR,,,
P000084,0.3019237594,2,NEGAR,,,
P000085,0.0292543530,9,APROVAR,0.0230000000,60,0.1000000000
P000086,0.3425333032,2,NEGAR,,,
P000087,0.1452892920,4,NEGAR,,,
P000088,0.1545236724,3,NEGAR,,,
P000089,0.0561115244,7,APROVAR,0.0250000000,60,0.1500000000
P000090,0.0312749499,9,APROVAR,0.0230000000,60,0.1000000000
P000091,0.1392198563,4,NEGAR,,,
P000092,0.0403520256,8,APROVAR,0.0240000000,60,0.1500000000
P000093,0.2252084863,2,NEGAR,,,
P000094,0.2286956873,2,NEGAR,,,
P000095,0.2466746918,2,NEGAR,,,
P000096,0.2443892505,2,NEGAR,,,
P000097,0.0695058790,6,APROVAR,0.0260000000,48,0.2000000000
P000098,0.1227854112,4,NEGAR,,,
P000099,0.0824311875,5,NEGAR,,,
P000100,0.1658913065,3,NEGAR,,,
P000101,0.2503952897,2,NEGAR,,,
P000102,0.0429094792,8,APROVAR,0.0240000000,60,0.1500000000
P000103,0.1195402067,4,NEGAR,,,
P000104,0.0899190966,5,NEGAR,,,
P000105,0.0282213230,9,APROVAR,0.0230000000,60,0.1000000000
P000106,0.1981045275,3,NEGAR,,,
P000107,0.0366654820,8,APROVAR,0.0240000000,60,0.1500000000
P000108,0.0253172325,9,APROVAR,0.0230000000,60,0.1000000000
P000109,0.0897329348,5,NEGAR,,,
P000110,0.1269528928,4,NEGAR,,,
P000111,0.2366855139,2,NEGAR,,,
P000112,0.1701321930,3,NEGAR,,,
P000113,0.0386892872,8,APROVAR,0.0240000000,60,0.1500000000
P000114,0.3066576566,2,NEGAR,,,
P000115,0.2199108259,3,NEGAR,,,
P000116,0.0474792718,8,APROVAR,0.0240000000,60,0.1500000000
P000117,0.2703660873,2,NEGAR,,,
P000118,0.0295792907,9,APROVAR,0.0230000000,60,0.1000000000
P000119,0.0747626451,6,APROVAR,0.0260000000,48,0.2000000000
P000120,0.3013712084,2,NEGAR,,,
P000121,0.1933264548,3,NEGAR,,,
P000122,0.2037338133,3,NEGAR,,,
P000123,0.0939568057,5,NEGAR,,,
P000124,0.1910620446,3,NEGAR,,,
P000125,0.0435747160,8,APROVAR,0.0240000000,60,0.1500000000
P000126,0.0675494095,6,APROVAR,0.0260000000,48,0.2000000000
P000127,0.0690364822,6,APROVAR,0.0260000000,48,0.2000000000
P000128,0.1624104307,3,NEGAR,,,
P000129,0.6059420085,1,NEGAR,,,
P000130,0.0294457030,9,APROVAR,0.0230000000,60,0.1000000000
P000131,0.1514202764,3,NEGAR,,,
P000132,0.0376270211,8,APROVAR,0.0240000000,60,0.1500000000
P000133,0.2464690617,2,NEGAR,,,
P000134,0.2125240745,3,NEGAR,,,
P000135,0.0403009858,8,APROVAR,0.0240000000,60,0.1500000000
P000136,0.2324720369,2,NEGAR,,,
P000137,0.1961809932,3,NEGAR,,,
P000138,0.4253514788,1,NEGAR,,,
P000139,0.1320803705,4,NEGAR,,,
P000140,0.1726039138,3,NEGAR,,,
P000141,0.1859545028,3,NEGAR,,,
P000142,0.1241779805,4,NEGAR,,,
P000143,0.0708713435,6,APROVAR,0.0260000000,48,0.2000000000
P000144,0.3583148815,1,NEGAR,,,
P000145,0.0624964751,6,APROVAR,0.0260000000,48,0.2000000000
P000146,0.1745555599,3,NEGAR,,,
P000147,0.0579699485,7,APROVAR,0.0250000000,60,0.1500000000
P000148,0.4980661563,1,NEGAR,,,
P000149,0.1402263146,4,NEGAR,,,
P000150,0.0249389630,9,APROVAR,0.0230000000,60,0.1000000000
P000151,0.0642912126,6,APROVAR,0.0260000000,48,0.2000000000
P000152,0.0373068932,8,APROVAR,0.0240000000,60,0.1500000000
P000153,0.1067960175,4,NEGAR,,,
P000154,0.2222098300,2,NEGAR,,,
P000155,0.2536895499,2,NEGAR,,,
P000156,0.0667593720,6,APROVAR,0.0260000000,48,0.2000000000
P000157,0.0570066527,7,APROVAR,0.0250000000,60,0.1500000000
P000158,0.0275998748,9,APROVAR,0.0230000000,60,0.1000000000
P000159,0.2359243005,2,NEGAR,,,
P000160,0.0316071772,9,APROVAR,0.0230000000,60,0.1000000000
P000161,0.0525605111,7,APROVAR,0.0250000000,60,0.1500000000
P000162,0.0237341084,9,APROVAR,0.0230000000,60,0.1000000000
P000163,0.0343716205,9,APROVAR,0.0230000000,60,0.1000000000
P000164,0.3093406675,2,NEGAR,,,
P000165,0.0407958344,8,APROVAR,0.0240000000,60,0.1500000000
P000166,0.0302687109,9,APROVAR,0.0230000000,60,0.1000000000
P000167,0.0654774736,6,APROVAR,0.0260000000,48,0.2000000000
P000168,0.0399501366,8,APROVAR,0.0240000000,60,0.1500000000
P000169,0.1671420610,3,NEGAR,,,
P000170,0.0245881036,9,APROVAR,0.0230000000,60,0.1000000000
P000171,0.0195207140,10,APROVAR,0.0225000000,60,0.1000000000
P000172,0.1547054839,3,NEGAR,,,
P000173,0.3158938055,2,NEGAR,,,
P000174,0.0247082169,9,APROVAR,0.0230000000,60,0.1000000000
P000175,0.0380416230,8,APROVAR,0.0240000000,60,0.1500000000
P000176,0.0339005152,9,APROVAR,0.0230000000,60,0.1000000000
P000177,0.0490793143,8,APROVAR,0.0240000000,60,0.1500000000
P000178,0.3576606189,1,NEGAR,,,
P000179,0.0870041899,5,NEGAR,,,
P000180,0.0725007116,6,APROVAR,0.0260000000,48,0.2000000000
P000181,0.1385509014,4,NEGAR,,,
P000182,0.0305195760,9,APROVAR,0.0230000000,60,0.1000000000
P000183,0.2980230639,2,NEGAR,,,
P000184,0.0893952029,5,NEGAR,,,
P000185,0.3650457098,1,NEGAR,,,
