score,pd_min_inclusiva,pd_max_exclusiva,decisao,taxa_am,prazo_maximo,entrada_minima,propostas,perda_pct_volume,roi_anual,volume,pd_media
10,0.0,0.02,APROVAR,0.0225,60.0,0.1,36,0.01608841639252541,0.15795239926806715,1093886.9313024217,0.023338848456780116
9,0.02,0.035,APROVAR,0.023,60.0,0.1,651,0.025555962585636798,0.15419498422374203,18491832.590279665,0.037981852769533385
8,0.035,0.05,APROVAR,0.024,60.0,0.15,784,0.038826702745112636,0.15648153828997555,20416650.394878425,0.056415324719522715
7,0.05,0.06,APROVAR,0.025,60.0,0.15,382,0.0533747593029277,0.15715357053468562,9019279.334999474,0.0757988971767193
6,0.06,0.075,APROVAR,0.026,48.0,0.2,360,0.06500816533696496,0.15283083138537,7702183.177631946,0.0950985566472583
5,0.075,0.1,NEGAR,,,,426,,,,
4,0.1,0.15,NEGAR,,,,514,,,,
3,0.15,0.22,NEGAR,,,,644,,,,
2,0.22,0.35,NEGAR,,,,860,,,,
1,0.35,1.0,NEGAR,,,,343,,,,
